externalSource,externalId,parentCategory,subCategory
LODGING_STD,4301000-201-2011-00001,숙박,모텔
LODGING_STD,4301000-201-2012-00001,숙박,모텔
LODGING_STD,4301000-201-2017-00001,숙박,펜션
LODGING_STD,4301000-201-2019-00001,숙박,모텔
LODGING_STD,4301000-201-2023-00001,숙박,모텔
LODGING_STD,4311000-201-2025-00002,숙박,펜션
LODGING_STD,4311000-214-2013-00003,숙박,펜션
LODGING_STD,4311000-214-2021-00003,숙박,펜션
LODGING_STD,4311000-214-2022-00003,숙박,펜션
LODGING_STD,4311000-214-2021-00005,숙박,리조트
LODGING_STD,4311000-201-2000-00021,숙박,모텔
LODGING_STD,4311000-201-2000-00039,숙박,모텔
LODGING_STD,4311000-201-2000-00043,숙박,모텔
LODGING_STD,4311000-201-2000-00045,숙박,모텔
LODGING_STD,4311000-201-2000-00055,숙박,모텔
LODGING_STD,4311000-201-2000-00015,숙박,모텔
LODGING_STD,4311000-201-2000-00023,숙박,모텔
LODGING_STD,4311000-201-2000-00033,숙박,모텔
LODGING_STD,4311000-214-2021-00006,숙박,리조트
LODGING_STD,4311000-214-2022-00001,숙박,펜션
LODGING_STD,4311000-214-2022-00002,숙박,펜션
LODGING_STD,4311000-201-2000-00002,숙박,모텔
LODGING_STD,4311000-201-2000-00003,숙박,모텔
LODGING_STD,4311000-201-2000-00013,숙박,모텔
LODGING_STD,4311000-201-2000-00016,숙박,모텔
LODGING_STD,4311000-201-2000-00018,숙박,모텔
LODGING_STD,4311000-201-2000-00020,숙박,모텔
LODGING_STD,4311000-201-2000-00022,숙박,모텔
LODGING_STD,4311000-201-2000-00025,숙박,모텔
LODGING_STD,4311000-201-2000-00026,숙박,모텔
LODGING_STD,4311000-201-2000-00028,숙박,모텔
LODGING_STD,4311000-201-2000-00032,숙박,모텔
LODGING_STD,4311000-201-2000-00034,숙박,모텔
LODGING_STD,4311000-201-2000-00035,숙박,모텔
LODGING_STD,4311000-201-2000-00037,숙박,모텔
LODGING_STD,4311000-201-2000-00038,숙박,모텔
LODGING_STD,4311000-201-2000-00040,숙박,모텔
LODGING_STD,4311000-201-2000-00044,숙박,모텔
LODGING_STD,4311000-214-2013-00002,숙박,펜션
LODGING_STD,4311000-214-2016-00003,숙박,펜션
LODGING_STD,4311000-214-2021-00001,숙박,펜션
LODGING_STD,4311000-201-2000-00050,숙박,모텔
LODGING_STD,4311000-201-2000-00051,숙박,모텔
LODGING_STD,4311000-201-2000-00052,숙박,호텔
LODGING_STD,4311000-201-2000-00053,숙박,모텔
LODGING_STD,4311000-201-2000-00054,숙박,모텔
LODGING_STD,4311000-201-2000-00058,숙박,모텔
LODGING_STD,4311000-201-2001-00002,숙박,호텔
LODGING_STD,4311000-201-2002-00001,숙박,모텔
LODGING_STD,4311000-201-2019-00001,숙박,모텔
LODGING_STD,4311000-201-2019-00002,숙박,모텔
LODGING_STD,4311000-214-2004-00001,숙박,펜션
LODGING_STD,4311000-214-2007-00001,숙박,리조트
LODGING_STD,4311000-214-2009-00001,숙박,펜션
LODGING_STD,4311000-214-2013-00001,숙박,펜션
LODGING_STD,4321000-201-2016-00001,숙박,호텔
LODGING_STD,4321000-201-1984-00003,숙박,모텔
LODGING_STD,4321000-201-1987-00004,숙박,모텔
LODGING_STD,4321000-201-1989-00002,숙박,모텔
LODGING_STD,4321000-201-1993-00002,숙박,모텔
LODGING_STD,4321000-201-2003-00002,숙박,모텔
LODGING_STD,4321000-201-2013-00001,숙박,모텔
LODGING_STD,4321000-201-2024-00001,숙박,펜션
LODGING_STD,4321000-214-2015-00001,숙박,모텔
LODGING_STD,4321000-214-2019-00002,숙박,펜션
LODGING_STD,4321000-201-1988-00005,숙박,모텔
LODGING_STD,4321000-201-1988-00006,숙박,모텔
LODGING_STD,4321000-201-1989-00003,숙박,모텔
LODGING_STD,4321000-201-2006-00002,숙박,펜션
LODGING_STD,4321000-201-2007-00001,숙박,모텔
LODGING_STD,4321000-201-2019-00001,숙박,모텔
LODGING_STD,4321000-201-2019-00002,숙박,모텔
LODGING_STD,4321000-201-2021-00001,숙박,펜션
LODGING_STD,4321000-201-2021-00002,숙박,호텔
LODGING_STD,4321000-201-1990-00001,숙박,모텔
LODGING_STD,4321000-201-1991-00001,숙박,모텔
LODGING_STD,4321000-201-1993-00001,숙박,모텔
LODGING_STD,4321000-201-1993-00006,숙박,모텔
LODGING_STD,4321000-201-1974-00001,숙박,모텔
LODGING_STD,4321000-201-1983-00001,숙박,모텔
LODGING_STD,4321000-201-1986-00001,숙박,모텔
LODGING_STD,4321000-201-1986-00002,숙박,모텔
LODGING_STD,4321000-201-1986-00003,숙박,모텔
LODGING_STD,4321000-201-1987-00001,숙박,모텔
LODGING_STD,4321000-201-1987-00003,숙박,모텔
LODGING_STD,4321000-201-1988-00002,숙박,모텔
LODGING_STD,4321000-201-2024-00003,숙박,모텔
LODGING_STD,4321000-201-2025-00001,숙박,모텔
LODGING_STD,4321000-214-2018-00001,숙박,펜션
LODGING_STD,4321000-214-2018-00002,숙박,펜션
LODGING_STD,4321000-214-2018-00003,숙박,펜션
LODGING_STD,4321000-214-2021-00001,숙박,펜션
LODGING_STD,4321000-214-2022-00001,숙박,펜션
LODGING_STD,4321000-214-2023-00001,숙박,펜션
LODGING_STD,4321000-201-1994-00002,숙박,모텔
LODGING_STD,4321000-201-1994-00004,숙박,모텔
LODGING_STD,4321000-201-1995-00002,숙박,모텔
